Datetime,Tweet Id,Text,Username
2022-01-30 13:04:16+00:00,1487773659301400583,"Gwamna Bala Mohammed na jihar Bauchi ya sanar da Atiku Abubakar cewa ya tsufa kuma a gajiye ya ke, don haka ya hakura da takarar shugabancin kasa

Gwamna Mohammed ya sanar da cewa Najeriya ta na neman mai jini a jika domin jagooranci

https://t.co/qKiUrbkD7G",legitnghausa
2022-01-30 13:01:32+00:00,1487772972316303364,"NAIJANEWS:  APC To PDP: Yari, Marafa Meet Atiku Abubakar, Bukola Saraki  #NG #politics
 https://t.co/WAQK0TUC5m",newsjourcom
2022-01-30 12:58:39+00:00,1487772247460876294,"Bauchi State Governor, Bala Mohammed, has said he told former Vice President, Atiku Abubakar, is qualified https://t.co/ODlRgB6yvf #election #elections #atikuabubakar #balamohammed",Reporters_Large
2022-01-30 12:52:58+00:00,1487770814611169295,"APC To PDP: Yari, Marafa Meet Atiku Abubakar, Bukola Saraki https://t.co/zQM0MXC00G",Opeedo
2022-01-30 12:52:57+00:00,1487770809359904768,"APC To PDP: Yari, Marafa Meet Atiku Abubakar, Bukola Saraki https://t.co/HubBe41OM1",NaijaNews
2022-01-30 12:52:56+00:00,1487770805350158338,"APC To PDP: Yari, Marafa Meet Atiku Abubakar, Bukola Saraki https://t.co/gmlMvMFrTt",gdonogbolu
2022-01-30 12:52:55+00:00,1487770801147367424,"APC To PDP: Yari, Marafa Meet Atiku Abubakar, Bukola Saraki https://t.co/NQaTeqGkOI",MrEnioluwa
2022-01-30 12:43:40+00:00,1487768476521537547,"Bauchi State Governor, Bala Mohammed, has said he told former Vice President, Atiku Abubakar, to allow him https://t.co/ODlRgB6yvf #election #elections #atikuabubakar #balamohammed",Reporters_Large
2022-01-30 12:15:56+00:00,1487761496851558407,"A True Definition Of Leader, A Man Of Honour And Desirable, A Man Of Dedicate, A Man Of Transparency, A Man Of Great Willing, He Also Distinguish A State Man And Africa Important Personality.

Alhaji Atiku Abubakar, Wazirin Adamawa 2023 President Of Nigeria By Grace Of Allah. https://t.co/kLBGfBpLkW",Mainagge0
2022-01-30 12:05:16+00:00,1487758811964354564,@Rasheethe @atiku Atiku abubakar is our next president by God grace,Daniele63034305
2022-01-30 11:59:15+00:00,1487757295215853569,"@Rasheethe Atiku Abubakar doesn't look like a 75yrs old tbh, he's healthy and physically okay, unlike baba Lagos.",Bashir_GS
2022-01-30 11:47:54+00:00,1487754441675657216,@AtikuKawai_MG Yes but we have to pray for peace to our country and we need Alh Atiku Abubakar,ABUAMMI1
2022-01-30 11:42:01+00:00,1487752961472483333,BALA MOHAMMED: Atiku Abubakar Too Old To Run For 2023 Presidency https://t.co/18rntXzN8g,Degeniusmedia
2022-01-30 11:31:02+00:00,1487750195253153792,"Bauchi governor: I told Atiku Abubakar to allow me to run for presidency because he’s old, tired https://t.co/98VUGrQDe9",todayng
2022-01-30 11:12:07+00:00,1487745436580524040,@Chude__ Atiku Abubakar,OriginalFakeBoi
2022-01-30 10:53:02+00:00,1487740632244178945,"Bauchi governor: I told Atiku Abubakar to allow me to run for presidency because he’s old, tired https://t.co/VOR1iguB6j via @todayng",NigeriaNewsdesk
2022-01-30 10:50:09+00:00,1487739907166638080,Vote Atiku Abubakar for President in 2023. He is the only Hope of Nigeria 🇳🇬 https://t.co/hChbLajV0v,UstazAbdurahman
2022-01-30 10:44:41+00:00,1487738533397811204,"Bauchi State, Governor, Bala Mohammed, has said he told former Vice President, Atiku Abubakar, to allow him contest the presidency because he is old and fatigued with Nigeria.",Ehix07
2022-01-30 10:33:45+00:00,1487735781586354183,"2023: Nigerians will go for a competent man like HE, Alh Atiku Abubakar because of His experience in politics and governance. Atiku is a reformer, he will transform Nigeria to a better one. Let's give him our support. @atiku @Rasheethe #Atikukawai https://t.co/49DGeZnI5n",MoniMike8
2022-01-30 10:31:31+00:00,1487735219331477507,@ArewaaConnect Atiku Abubakar president/ Wike VP,majidzubayr
2022-01-30 09:54:25+00:00,1487725880633966597,"Former governor of Zamfara State, Alhaji Abdulaziz Yari, on Thursday night had a meeting with former Vice President Atiku Abubakar and former Senate President, Bukola Saraki.

https://t.co/ewRpjAFoyl",TheNationNews
2022-01-30 09:39:08+00:00,1487722035774119938,"Ana rade-radin cewa tsohon gwamnan jihar Zamfara, Abdulaziz Yari da Sanata Kabiru Marafa na iya sauya sheka daga jam'iyya APC.

Manyan jiga-jigan na jam'iyya mai mulki sun gana da Atiku Abubakar da Bukola Saraki a ranar Alhamis.
https://t.co/zqsc3LMmnn",legitnghausa
2022-01-30 08:55:20+00:00,1487711011712942080,The only thing making us not to respond to useless stupid assholes looking for attention by attacking our very own atiku Abubakar is because we were trained by him not to respond negativity with negativity but rather positivity. But wallahi we are also mad like you guys yan shegu,Shangudar
2022-01-30 07:59:22+00:00,1487696930142670850,@mrs_murja Atiku Abubakar. Wazirin Adamawa,AhmedGashinge
2022-01-30 07:33:28+00:00,1487690411573448705,"PDP Presidential Candidates Play Very Mature Politics, Outshine The Dirty And Selfish Politics In APC, As Governor Bala Mohammed Declares That He Will Step Down And Support Atiku Abubakar For The 2023 Presidency, If Nigerians Prefer Him Despite His Old Age https://t.co/WltNuEc0nL",page36news
2022-01-30 06:57:39+00:00,1487681398416805888,@JessicaOgwater @ChibuikeAmaechi It is bad for anybody to attack Chibuike Amaechi for a mere traditional title bestom on him in the North which we also do to northerners in the SE. Buhari and Atiku Abubakar had a traditional title in our Igbo attire. Does that make them Igbo? Why this hate among ourselves?Tufia.,Alexnwokedi2
2022-01-30 06:55:33+00:00,1487680869577887748,"A chieftain of the Peoples Democratic Party in Edo State, Barr. Kenneth Imasuangbon, has backed the aspiration of former Vice President of Nigeria, Alhaji Atiku Abubakar, for the party’s ticket in next year’s general election... https://t.co/M1qu9TliFN",StrawberryNG
2022-01-30 06:30:43+00:00,1487674619251286018,"Bauchi Governor: Atiku Abubakar is unfit and too old to be President
Politics
https://t.co/0dJjedNDDZ https://t.co/OkyWe9wvvI",thengblogg
2022-01-30 06:17:54+00:00,1487671392900460544,"@DailyPostNGR Bala Mohammed should stop this madness. Atiku Abubakar is far better than you, whether old or young. Just continue to pray for your re/election in 2023 and stop eyeing the presidency.",NewMoon41019943
2022-01-30 06:13:30+00:00,1487670285176389632,"@MobilePunch And you Bala Mohammed is still a young man of 50yrs old. If you said that Atiku Abubakar is old to contest, just remember that you are old too. Atiku may be old by his age but he is still sound and intelligent with Sharp memory.",NewMoon41019943
2022-01-30 05:58:47+00:00,1487666584659410952,Wemove for Atiku abubakar 2023,AdamuAlhajiAda5
2022-01-30 04:57:39+00:00,1487651197502869506,@Rasheethe @atiku Atiku Abubakar Absolutely,wayas_way
2022-01-30 02:03:30+00:00,1487607373539778569,@AtikuKawai_MG Atiku Abubakar all the way 2023,NewMoon41019943
2022-01-29 23:36:43+00:00,1487570432995868672,"2023 Presidential Election Is Not An Election To Test New Hands.

@atiku Abubakar Has Shown Capacity And Acceptability.

@OfficialPDPNig Cannot Afford To Play Politics With An Already Secured 12million Votes From 2019 By His Excellency Atiku Abubakar.

#Atiku2023 #Atikukawai https://t.co/lCUgIlpec6",AtikuMedia2023
2022-01-29 22:06:54+00:00,1487547830323589121,"@skypes1319 Giving employment to our teeming youth could end terrorism,employment for the youth is one of the cardinal point that Atiku Abubakar wants to do,how he do that is by giving the right atmosphere for small scale and large scale business to thrive which consequently will give jobs.",muhammed_ida
