Datetime,Tweet Id,Text,Username
2022-01-30 23:38:14+00:00,1487933203809714177,"Dear Mr president Muhammadu Buhari, please handover power to professor Babagana Umar Zulum we need somebody like him in this country. If u truly need the progress of this Country https://t.co/56OucHXIqg",ismailmsani4
2022-01-30 22:34:47+00:00,1487917234106339330,@yush_belle Muhammadu Buhari: Challenges of Leadership in Nigeria by John. N Paden,alliiyyu
2022-01-30 22:23:50+00:00,1487914477521674244,"@fash360degree @MuhammaduBuhari The so called cases, what has he done, l look at it as a blessing honestly.",4real009494661
2022-01-30 22:14:08+00:00,1487912038026420225,"@fash360degree @MuhammaduBuhari He should go and try the soapbox...Not excited by his mien nor disposition to corruption cases...Never impressed me but for occasional flashes...A hard-nosed, no nonsense guy with unblemished record is required to rework the Attorney General's office",lukemonowolabi
2022-01-30 22:02:11+00:00,1487909028588142596,"President Muhammadu Buhari has joined the entertainment industry in celebrating renowned songwriter, singer and journalist, Onyeka Onwenu, on her 70th birthday.
https://t.co/YcIzschBFf
This is as he congratulated the multiple

https://t.co/Jju3A5DhKt https://t.co/bFlYMMTzEn",pmparrotng
2022-01-30 21:56:44+00:00,1487907659059810308,"All these are entrepreneurs in Nigeria except : A: Aliko Dangote
B: Mike Otedola
C: Rabiu BUA
D: Muhammadu Buhari",ibraheemgarrba
2022-01-30 21:42:24+00:00,1487904049773039618,"Many Nigerians were left bewildered last week when Nigeria's current Works and Housing Minister, Babatunde Fashola declared that on infrastructure, the government of President Muhammadu Buhari which he is part of has accomplished..

Read More: https://t.co/ONdFcIpqcB",atndaily
2022-01-30 21:41:33+00:00,1487903836899397634,"President Muhammadu Buhari has joined the entertainment industry in sharing the joyous occasion of the 70th birthday of renowned songwriter, singer and journalist, Onyeka Onwenu. https://t.co/gwfOgTF2RG",StrawberryNG
2022-01-30 21:27:00+00:00,1487900176467566592,"country because of the tenure of the leader, President Muhammadu Buhari who is from the North and will be finishing his tenure in 2023.",letisbsbsbs
2022-01-30 21:19:53+00:00,1487898386795839491,@erigganewmoney President Muhammadu Buhari,Bob_A_Salam
2022-01-30 21:05:51+00:00,1487894853694410760,"Farmers Will Have Access To Fertilizer. 

The Pipeline Will Pass Through Abidjan, Lome,Shata Tema &amp; Takoradi,  Freetown,  Conakry,  Guinea Bissau,  Gambia,  Dakar , Nouakchott,  Tangier And Candiz In Spain.

President Muhammadu Buhari About To Make A Massive History…………",RabiuIdrisKura
